month_date_yyyymm,state,state_id,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202202,florida,fl,434040,0.0215,0.2437,36741,-0.1074,-0.4633,41,-0.2679,-0.4058,42920,0.1003,-0.0141,5108,0.0615,-0.3003,7556,-0.1047,-0.4649,73947,0.1646,-0.0621,261,0.0264,0.2075,1645,0.004,0.0385,1038493,0.053,0.3131,110688,0.0576,-0.2449,2.0127,0.47,0.861,0
202202,nevada,nv,479450,0.0201,0.37,4622,-0.0517,-0.2326,29,-0.3095,-0.275,3916,0.1087,-0.001,396,-0.0833,-0.0198,752,-0.0784,-0.109,1575,0.1887,0.057,256,0.0323,0.2804,1898,-0.0161,0.0892,846285,0.0365,0.3178,6213,0.0044,-0.1753,0.3408,0.0689,0.0934,1
202202,massachusetts,ma,689900,0.0374,0.0623,4492,-0.0171,-0.2814,36,-0.4194,-0.3514,5080,0.3525,-0.0223,196,0.1395,-0.2462,660,-0.0517,-0.2731,2069,0.0621,-0.255,398,0.0468,0.0863,1710,-0.002,-0.0312,1320912,0.0393,0.0936,6586,0.0129,-0.2697,0.4606,0.0343,0.0163,0
202202,rhode island,ri,432400,0.0198,0.0813,745,-0.1377,-0.2857,45,-0.1964,-0.1743,864,0.0588,-0.0886,28,2.5,-0.3,100,-0.2188,-0.2424,1703,-0.0047,-0.1785,292,0.0256,0.1316,1551,0.0075,-0.019,799980,0.0677,-0.0676,2449,-0.0328,-0.2173,2.2859,0.3056,0.2984,0
202202,kansas,ks,220000,0.1,0.1259,2778,-0.0904,-0.1791,63,-0.0672,-0.1554,2824,0.2836,0.0946,252,-0.0455,-0.2025,480,-0.1781,-0.0977,4721,0.1015,-0.074,120,0.048,0.1572,1833,0.0226,-0.0451,342476,0.073,0.1016,7516,0.0306,-0.1077,1.6994,0.296,0.1929,0
202202,connecticut,ct,507400,0.0593,0.3044,3600,-0.1031,-0.6042,60,-0.2308,0.0345,3320,0.2064,-0.0281,184,-0.0213,-0.2923,480,-0.2357,-0.3814,6248,0.0045,48.984,256,0.0376,0.3048,1966,0.0383,-0.0172,1419068,0.1368,0.5862,9848,-0.036,0.0681,1.7356,0.186,1.7218,1
202202,texas,tx,342500,0.0074,0.142,34676,-0.0982,-0.1949,44,-0.2232,-0.2301,32888,0.0495,-0.0121,6524,0.0751,0.0342,7188,-0.1451,-0.1243,48182,0.1326,-0.0799,171,0.0131,0.1658,2000,-0.0057,-0.0315,506484,0.0282,0.0946,82609,0.0199,-0.1425,1.3895,0.2832,0.1736,0
202202,illinois,il,254900,0.0237,-0.0288,15913,-0.1,-0.3074,51,-0.2031,-0.1969,14444,0.1969,-0.0788,584,0.168,-0.2435,3196,-0.0522,-0.2743,19754,0.1807,-0.1843,161,0.0278,0.0452,1530,-0.01,-0.0497,417926,0.0432,-0.0286,35667,0.0316,-0.2428,1.2414,0.2951,0.1874,0
202202,ohio,oh,185000,0.0278,-0.0715,9438,-0.1457,-0.0636,58,-0.0254,-0.0873,10096,0.1075,-0.0102,608,-0.1006,-0.0788,2420,-0.1746,-0.0502,15063,0.0652,-0.1189,116,0.0095,0.0456,1594,0.0069,-0.0568,298287,0.0374,-0.024,24522,-0.0264,-0.0984,1.596,0.3159,-0.1002,0
202202,new york,ny,671500,0.0492,0.104,37842,-0.0181,-0.1253,82,-0.0575,-0.1759,15196,0.1857,0.1977,1124,0.0255,0.2715,5308,0.0482,0.0263,27118,-0.0439,0.0411,465,0.0522,0.2529,1482,-0.0113,-0.0737,1742429,0.0181,0.2548,64971,-0.0294,-0.0625,0.7166,-0.0193,0.1145,0
202202,south carolina,sc,326245,0.0054,0.1897,6667,-0.1512,-0.4343,44,-0.25,-0.3308,8172,0.2557,-0.052,2164,-0.0815,-0.2102,1404,-0.0028,-0.3451,14027,0.1079,-0.0196,168,0.0126,0.1197,1980,-0.0085,0.0784,523135,0.0316,0.1634,20637,0.0075,-0.2083,2.1039,0.4921,0.8899,0
202202,north dakota,nd,267400,0.0696,0.1142,1328,-0.0487,-0.2573,93,0.022,0,620,0.1314,-0.019,96,1.6667,-0.4146,172,-0.0227,-0.2833,706,0.148,-0.2441,130,0.0138,0.1016,2099,-2.00E-04,-7.00E-04,308040,0.0315,0.0668,2020,0.005,-0.2579,0.5316,0.0911,0.0093,0
202202,vermont,vt,381000,0.0613,0.1581,746,-0.1044,-0.4936,79,-0.1649,-0.3144,508,0.4941,-0.1699,16,-0.4286,-0.7143,88,0.1,-0.3333,564,0.0387,-0.4063,203,0.0661,0.1745,2005,-0.0174,0.0188,615017,0.0345,0.1208,1316,-0.0295,-0.4569,0.756,0.1042,0.1111,0
202202,mississippi,ms,239000,0.0391,0.0891,3277,-0.0849,-0.3062,71,-0.0405,-0.2198,2452,0.1437,0.2613,148,0.0278,-0.2885,688,-0.0337,-0.0337,4281,0.1511,0.1885,112,0.0018,0.0577,2012,0.006,-0.0113,336012,0.0226,0.1224,7558,0.0353,-0.091,1.3064,0.2678,0.5437,0
